,date,event,tour,surname,first_name,fin_pos,r1_score,r2_score,r3_score,r4_score,r5_score,score_tot,field_av,adj_r1_score,adj_r2_score,adj_r3_score,adj_r4_score,adj_r5_score,adj_av
610,19-May-1996,Benson and Hedges International Open,European,Harrington,Padraig,mc,75,84,,,,159,72.5,72.0,81.9,,,,77.0
611,12-May-1996,Open de Espana,European,Harrington,Padraig,1,70,64,67,71,,272,72.8,70.0,64.1,67.1,71.5,,68.2
612,05-May-1996,Italian Open,European,Harrington,Padraig,10,72,71,66,71,,280,73.1,72.4,71.0,67.7,71.8,,70.7
613,28-Apr-1996,Turespana Masters,European,Harrington,Padraig,7,71,72,66,70,,279,72.9,70.5,72.3,67.5,72.0,,70.6
614,21-Apr-1996,Cannes Open,European,Harrington,Padraig,8,68,65,72,74,,279,72.7,67.5,65.0,73.5,74.7,,70.2
615,31-Mar-1996,Madeira Island Open,European,Harrington,Padraig,48,71,73,70,77,,291,73.7,70.4,72.9,71.4,77.6,,73.1
616,24-Mar-1996,Portuguese Open,European,Harrington,Padraig,45,72,69,72,72,,285,73.1,72.4,69.7,74.1,73.4,,72.4
617,10-Mar-1996,Moroccan Open,European,Harrington,Padraig,23,72,71,73,76,,292,72.9,70.5,68.9,72.1,74.7,,71.5
618,03-Mar-1996,Catalan Open,European,Harrington,Padraig,31,75,69,,,,144,73.9,75.1,68.8,,,,72.0
619,25-Feb-1996,Players' Championship,Southern Africa,Harrington,Padraig,49,72,71,73,71,,287,72.6,71.6,69.9,75.1,73.0,,72.4
